"gene","log2FoldChange","padj","status"
"ENSG00000116016.13",-1.98390743705071,1.02525646909186e-123,"DOWN"
"ENSG00000170965.9",4.74104112460685,2.10495110630445e-123,"UP"
"ENSG00000168079.16",-5.10986850049353,2.16496376159693e-123,"DOWN"
"ENSG00000127955.15",-2.49308252335807,2.77965736110261e-123,"DOWN"
"ENSG00000144130.11",3.28950403246982,3.73719556397729e-123,"UP"
"ENSG00000007314.12",-3.6039438809122,4.01707727539144e-123,"DOWN"
"ENSG00000065328.16",3.14821290448808,5.44557670132276e-123,"UP"
"ENSG00000255330.9",-3.03595823290967,7.72757622113602e-123,"DOWN"
"ENSG00000233966.1",2.40965510655563,8.05705041199114e-123,"UP"
"ENSG00000162063.12",1.7319084180226,8.91744459654975e-123,"UP"
"ENSG00000163884.3",-3.4197531134629,1.59322060809348e-122,"DOWN"
"ENSG00000227591.5",-4.50326048916628,1.69664378650761e-122,"DOWN"
"ENSG00000145386.9",2.37741547466547,1.77859376328606e-122,"UP"
"ENSG00000243018.1",-1.90865681315016,2.68994001222969e-122,"DOWN"
"ENSG00000131386.17",-3.21799367558206,4.02912452572465e-122,"DOWN"
"ENSG00000154133.14",-1.92775809501188,5.36909890743585e-122,"DOWN"
"ENSG00000073712.14",-1.94403337817101,9.47319488869992e-122,"DOWN"
"ENSG00000051341.13",2.64228107049155,1.33608200221624e-121,"UP"
"ENSG00000277801.1",-1.56490967715193,1.86188672226697e-121,"DOWN"
"ENSG00000034971.16",-6.84240611252328,1.96032528776118e-121,"DOWN"
"ENSG00000254847.1",-2.36496673223752,2.04152717235014e-121,"DOWN"
"ENSG00000275327.1",-2.85805223984878,2.29269408281857e-121,"DOWN"
"ENSG00000126218.11",-2.71853307831323,2.50102824268471e-121,"DOWN"
"ENSG00000102100.15",1.30122593659099,4.04913767119143e-121,"UP"
"ENSG00000004799.7",-3.61570789483599,5.47764196174777e-121,"DOWN"
"ENSG00000069011.15",3.83345919797899,6.48797778742996e-121,"UP"
"ENSG00000171992.12",-1.97605567692846,7.18483372722902e-121,"DOWN"
"ENSG00000108106.13",2.51982643783395,8.32741981403516e-121,"UP"
"ENSG00000092853.13",2.89167345295201,1.08101923348132e-120,"UP"
"ENSG00000250218.1",-4.14204929294019,1.37244839765901e-120,"DOWN"
"ENSG00000123689.5",-4.08942121880571,1.47652151904129e-120,"DOWN"
"ENSG00000115414.18",2.88956244466116,1.57535356315176e-120,"UP"
"ENSG00000262497.1",-1.24976804854675,1.82179324155441e-120,"DOWN"
"ENSG00000101938.14",-4.40053485323473,3.30187342028863e-120,"DOWN"
"ENSG00000203499.11",2.19140330855504,1.84090546924673e-119,"UP"
"ENSG00000151725.11",2.05521691342154,2.33522364439831e-119,"UP"
"ENSG00000265972.5",-2.05693304835426,2.80574255607767e-119,"DOWN"
"ENSG00000157150.4",-4.54980752318439,3.17294912134051e-119,"DOWN"
